Date,Location,City,State,Deaths,Injuries,County,GOV,Description
3/27/1990,"Brooklyn, New York",Brooklyn, New York,0,1,Cattaraugus County,R,"A black youth was taunted with racial slurs by three white youths in the stairwell of a public school in the Bensonhurst area of Brooklyn. The 14-year-old was then shot and slightly wounded, because he had acted as peacemaker when the same boys had clashed with another black teen the month before.[299]"
9/11/1990,"San Antonio, Texas",San Antonio, Texas,0,3,Bexar County,R,"3 students were wounded when gunfire broke out at Sam Houston High School. The incident took place at 11:55 a.m. and was gang related. 17-year-old John Campbell was wounded in the right foot, 18-year-old Larry Johnson was wounded in the right thigh and calf, and a 16-year-old received a chest wound. 18-year-old Kenneth Wolford, and two other male students were arrested and charged.[300]"
2/6/1991,"Donna, Texas",Donna, Texas,1,0,Hidalgo County,D,15-year-old Raul Calvo shot himself dead while playing Russian roulette inside a biology classroom at Donna High School.[301]
4/23/1991,"Compton, California",Compton, California,1,0,Los Angeles County,D,"A teenager aimed and fired a handgun at a security guard who had chased him and three friends off the grounds of Ralph J. Bunche Middle School. He instead killed 11-year-old Alejandro Vargas, a bystander and student at the school.[302]"
9/18/1991,"Crosby, Texas",Crosby, Texas,1,0,Harris County,R,"17-year-old Arthur Jermel Jack, was killed by 15-year-old LaKeeta Cadoree, in the cafeteria at Crosby High School.[303]"
11/1/1991,"Iowa City, Iowa",Iowa City, Iowa,6,1,Johnson County,D,"University of Iowa shooting: 28-year-old former graduate student, Gang Lu, killed four members of University of Iowa's faculty and a research student, and seriously wounded another student. 47-year-old professor of physics and astronomy, Christoph K. Goertz, 45-year-old associate professor of physics and astronomy, Robert Alan Smith, 44-year-old chairman of the physics and astronomy department, Dwight R. Nicholson, 56-year-old associate vice president for academic affairs, Dr. Theresa Anne Cleary, shot in the head and died the following day, and 27-year-old research investigator in physics and astronomy, Dr. Shan Linhua. 23-year-old Miya Rodolfo-Sioson, Dr. Cleary's temporary student receptionist in the grievance office, survived but was left paralyzed from the neck down. Lu then shot himself in the head, he died shortly after police arrived.[304][305][306][307]"
11/25/1991,"Brooklyn, New York",Brooklyn, New York,1,0,Cattaraugus County,R,"Thomas Jefferson High School shooting: During an argument between two teens, a stray bullet killed a third, uninvolved 16-year-old student. In 1992, 14-year-old shooter Jason Bentley, was sentenced to three to nine years in prison.[294]"
12/12/1991,"Kent, Ohio",Kent, Ohio,1,0,Portage County,R,"51-year-old custodian, John Frazier, was killed outside a campus auditorium of Kent State University.[308]"
1/29/1992,"Kent, Ohio",Kent, Ohio,0,1,Portage County,R,"26-year-old graduate student, Sarah Smith, was wounded in the chest as she was waiting for her husband to pick her up at Kent State University.[309]"
2/26/1992,"Brooklyn, New York",Brooklyn, New York,2,0,Cattaraugus County,R,"Thomas Jefferson High School second shooting: 15-year-old Kahlil Sumpter, killed fellow students, 16-year-old Tyrone Sinkler and 17-year-old Ian Moore, on the school's second-floor hallway.[310] In 1993, he was sentenced to between 6? and twenty years in prison. He was released on parole in 1998.[294]"
5/1/1992,"Olivehurst, California",Olivehurst, California,3,10,Yuba County,R,"Lindhurst High School shooting: Former student, 20-year-old Eric Houston, killed three students and one teacher, and wounded nine other students and teacher before surrendering to police.[239][294]"
10/19/1992,"The Bronx, New York",The Bronx, New York,0,3,Bronx,D,Two 14-year-old girls and a 16-year-old boy were shot at outside a Bronx high school.[311]
11/4/1992,"Detroit, Michigan",Detroit, Michigan,0,11,Wayne County,D,"11 students were hit by gunfire during a four-hour period in three separate school incidents, five were hospitalized. Six students at Finney High School were grazed by buckshot after three ski-masked gunmen opened fire in a crowded hallway. A 14-year-old was in custody for shooting three Foch Middle School students as they passed by the Marcus Garvey Academy. In the third incident, 16-year-old DeWayne Boyd was hit in the chest, when shots were fired at two Mumford High School students.[312]"
1/6/1993,"Brentwood, New York",Brentwood, New York,0,1,Suffolk County,R,"Brentwood High School. Former student, Matthew Hunter, was shot by two gunmen during a basketball game between Brentwood High School and Sachem High School. The assault was over a dispute about the theft of a gold chain.[313]"
1/18/1993,"Grayson, Kentucky",Grayson, Kentucky,2,0,Carter County,D,"East Carter High School shooting: 17-year-old Scott Pennington, a student at East Carter High School, fatally shot his 48-year-old English teacher, Deanna McDavid, and 52-year-old head custodian, Marvin Hicks.[314]"
2/22/1993,"Los Angeles, California",Los Angeles, California,1,0,Los Angeles County,D,"15-year-old Robert Heard, fatally shot 17-year-old Michael Shean Ensley in the corridor of the Reseda High School's science building.[315]"
4/15/1993,"Acushnet, Massachusetts",Acushnet, Massachusetts,1,0,Bristol County,D,44-year-old David Taber entered Ford Middle School and took three hostages. He killed school nurse Carol Day. He was found not guilty of the murder by reason of insanity.[294]
5/14/1993,"Irving, Texas",Irving, Texas,1,0,Dallas County,R,"17-year-old Max Alexander Martinez, killed 17-year-old Jose Balderas, with a .38 caliber revolver in a hallway in Nimitz High School during a dispute over girls.[316][317]"
5/24/1993,"Pennsburg, Pennsylvania",Pennsburg, Pennsylvania,1,0,Montgomery County,D,15-year-old student Jason Smith killed another student who had bullied him at Upper Perkiomen High School. He was charged as an adult and sentenced to between twelve and twenty-five years in prison.[294][318]
9/17/1993,"Sheridan, Wyoming",Sheridan, Wyoming,1,4,Sheridan County,R,"29-year-old Kevin Newman, wounded four students before killing himself at Central Junior High School.[319]"
11/4/1993,"New Britain, Connecticut",New Britain, Connecticut,1,0,Hartford County,D,"18-year-old Miguel DeJesus, was gunned down on the steps of New Britain High School.[320] Rival gang members, 24-year-old Maurice Flanagan and 23-year-old Thomas Mejia, were charged.[321]"
12/1/1993,"Wauwatosa, Wisconsin",Wauwatosa, Wisconsin,1,0,"Milwaukee County,",D,"Wauwatosa West High School shooting: 21-year-old former student, Leonard D. McDowell, shot 46-year-old associate principal, Dale Breitlow, three times with a revolver in a second-floor hallway of Wauwatosa West High School.[322] McDowell was found guilty of the murder and sane at the time of the shooting, he was sentenced to life in prison.[294] His sentence was upheld by the state Court of Appeals in April 1997.[323]"
1/24/1994,"Columbia, South Carolina",Columbia, South Carolina,1,0,Richland County,D,"18-year-old Floyd Eugene Brown, shot fellow Eau Claire High School student, 17-year-old Earnest Dunlap, following an argument the week before. Brown was arrested shortly after at his home. A 16-year-old boy was also arrested for kicking Dunlap after the shooting.[324]"
1/31/1994,"Seattle, Washington",Seattle, Washington,1,0,King County,D,"24-year-old Darrell Cloud, a former student at Whitman Middle School in North Seattle, killed 45-year-old Neal Summers, who had sexually abused Cloud since he was thirteen. Cloud served nine years in prison. He later received a $250,000 settlement in a civil suit against Seattle Schools, charging that Summers had not been adequately supervised.[325]"
2/18/1994,"Spartanburg, South Carolina",Spartanburg, South Carolina,0,1,Spartanburg County,R,"At around 10 p.m., 24-year-old Roosevelt Johnson was shot in the leg, after a basketball game at Spartanburg High School.[326]"
3/1/1994,"Boonville, Missouri",Boonville, Missouri,2,0,Cooper County,R,"33-year-old Dante D. Hayes, a hunter and ex-convict, killed 58-year-old Richard Vancena, a cafeteria manager, and 33-year-old Robin Michelle Coleman, a cook, in the mess hall of Kemper Military School and College. He was drunk and looking for his wife Anna Hayes with whom he had a fight the night before. No students were harmed.[327]"
4/12/1994,"Butte, Montana",Butte, Montana,1,0,Silver Bow,D,"10-year-old Jason Osmanson, teased because his parents have AIDS, killed an 11-year-old student on the playground of Margaret Leary Elementary School. Osmanson was sent to a private residential treatment center.[294][317]"
4/21/1994,"Nashville, Tennessee",Nashville, Tennessee,1,0,Davidson County,D,"14-year-old Jeremy Bryant, killed 13-year-old Terrence Murray, in music class at J.T. Moore Middle School.[328]"
10/12/1994,"Greensboro, North Carolina",Greensboro, North Carolina,1,1,Guilford,D,"After being suspended for smoking, 16-year-old Nicholas Atkinson, returned to Grimsley High School with a 9 mm pistol. After wounding assistant principal, Bill Whites, Atkinson took his own life.[239][329][330]"
10/17/1994,"Chicago, Illinois",Chicago, Illinois,0,1,Cook County,D,"A 16-year-old female student was shot in the thigh outside Hubbard High School when a teenage boy rode past on a bicycle and fired into a crowd. It is believed the shooting was meant for rival gang members, but the girl was hit instead. The boy lived in the neighborhood.[331]"
11/7/1994,"Wickliffe, Ohio",Wickliffe, Ohio,1,4,Lake County,R,"Wickliffe Middle School shooting: 37-year-old former student, Keith A. Ledeger, killed 41-year-old custodian, Pete Christopher, at Wickliffe Middle School, and wounded 47-year-old assistant principal, Jim Anderson, 47-year-old police officer, Thomas Schmidt, and 50-year-old teacher, Lowell Grimm, before being injured and taken into custody.[294][317][332]"
12/14/1994,"Albany, New York",Albany, New York,0,1,Albany County,D,"Ralph J. Tortorici, 26, a military veteran and psychology major at the State University of New York at Albany held hostage a large lecture hall from 9:10 a.m. until 11:30 a.m. Tortorici, armed with a .270-caliber rifle with more than two dozen rounds of ammunition and a hunting knife, walked into the ancient history class of Hans Pohlsander, saying, ""Don't worry. Nobody move. You guys are getting held hostage."" The standoff ended when Tortorici had his gun taken away by Jason McEnaney, a 19-year-old student. McEnaney was shot in the leg, groin, and abdomen in the exchange. Tortorici suffered from a well-document history of mental illness, argued during the hostage crisis that the government had implanted a control chip in his head during a procedure at Albany Medical Center, and ultimately committed suicide in 1999 in prison while serving a 15 1/2 year sentence.[333][334][335][336]"
1/12/1995,"Seattle, Washington",Seattle, Washington,0,2,King County,D,A 15-year-old student at Garfield High School left school during the day and returned with his grandfather's handgun. He wounded two students.[337]
9/29/1995,"Tavares, Florida",Tavares, Florida,1,0,Lake County,R,"14-year-old student Keith E. Johnson, killed 13-year-old Joey Summerall, at Tavares Middle School with a handgun that he had stolen from his neighbor's home. He was convicted and sentenced to life in prison without the possibility of parole.[338]"
10/12/1995,"Blackville, South Carolina",Blackville, South Carolina,2,1,Barnwell County,R,"Blackville-Hilda High School shooting: Suspended student, 16-year-old Toby R. Sincino, killed 56-year-old math teacher, Phyllis Senn, and wounded 38-year-old math teacher, Johhnny Thompson, before committing suicide at Blackville-Hilda High School.[294][317][339][340]"
11/15/1995,"Lynnville, Tennessee",Lynnville, Tennessee,2,1,Giles County,D,"Richland High School shooting: 17-year-old James Rouse, killed a student and teacher at Richland High School and seriously wounded another teacher with a rifle.[294][339][341]"
1/19/1996,"Washington, D.C.",Washington, D.C.,1,0,"Washington, D.C.",D,"Two masked gunmen killed 14-year-old Damion Blocker in a stairwell at Winston Education Center. 16-year-old shooter, Darrick Evans, was sentenced to 41 years to life in prison.[294]"
2/2/1996,"Moses Lake, Washington",Moses Lake, Washington,3,1,Grant County,R,"Frontier Middle School shooting: 14-year-old Barry Loukaitis, killed a teacher and two students and wounded another student when he opened fire on his algebra class. Loukaitis was sentenced to life in prison.[341][342]"
2/29/1996,"St. Louis, Missouri",St. Louis, Missouri,1,1,St. Louis County,D,"30-year-old Mark Boyd, hired 23-year-old Malik Nettles, to kill 15-year-old Kyunia Taylor, as she rode on a school bus bound for Beaumont High School. Taylor was pregnant with a child fathered by Boyd, a baby girl was delivered by emergency caesarean section, but died 23 days later. The bus driver was also shot, he survived.[343]"
8/15/1996,"San Diego, California",San Diego, California,3,0,San Diego County,D,"San Diego State University shooting: At San Diego State University, 36-year-old graduate student, Frederick Martin Davidson, killed three professors, 32-year-old Chen Liang, 44-year-old D. Preston Lowrey III, and 36-year-old Costas Lyrintzis, that he believed were involved in a conspiracy against him.[341][344][345] Davidson was sentenced to serve three life terms.[346]"
9/17/1996,"State College, Pennsylvania",State College, Pennsylvania,1,2,Centre County,D,"19-year-old Jillian Robbins, killed one student and injured two outside Pennsylvania State University's HUB–Robeson Center.[341][347][348]"
9/25/1996,"Decatur, Georgia",Decatur, Georgia,1,2,DeKalb County,D,"16-year-old David Dubose Jr., killed English teacher, Horace Morgan, on the steps of Dekalb Alternative School. Dubose was found not guilty by reason of insanity and was committed indefinitely to a state mental hospital.[226]"
10/9/1996,"Sherwood, Arkansas",Sherwood, Arkansas,1,0,Pulaski County,D,"14-year-old Willis Ward Johnson, killed 20-year-old James Earl Routt, as they rode a school bus.[349]"
1/27/1997,"West Palm Beach, Florida",West Palm Beach, Florida,1,0,Palm Beach County,D,"14-year-old Conniston Middle School student, Tronneal Mangum, fatally shot 14-year-old classmate, John Pierre Kamel, just minutes before school started, over a $40 debt.[350]"
2/19/1997,"Bethel, Alaska",Bethel, Alaska,2,2,Bethel Census Area,D,"Bethel Regional High School shooting: 16-year-old student, Evan Ramsey, killed Bethel Regional High School principal, Ron Edwards, and 15-year-old student, Joshua Palacios, and wounded two other students.[341][351]"
10/1/1997,"Pearl, Mississippi",Pearl, Mississippi,3,7,Rankin County,R,"Pearl High School shooting: 16-year-old Luke Woodham, murdered his 50-year-old mother, Mary, at home before killing his ex-girlfriend, 16-year-old student, Christina Menefee, and 17-year-old student, Lydia Kaye Dew, then wounding seven others at Pearl High School.[341][352][353][354]"
10/15/1997,"Palmetto, Florida",Palmetto, Florida,0,1,Manatee County,R,"After an argument between them the day before, 13-year-old Brandon Hartsoe took a .38 revolver from his mother's dresser drawer and shot 13-year-old Lincoln Middle School classmate, Trent Murray, in the back causing serious injury, then continued to fire three more shots in the general area of other students.[355] Hartsoe was sentenced in 1998 to serve until his 18th birthday. His probation was set to end in October 2009.[356]"
12/1/1997,"West Paducah, Kentucky",West Paducah, Kentucky,3,5,McCracken County,D,"Heath High School shooting: Three students were killed and five wounded by 14-year-old Michael Carneal, as they participated in a prayer circle. Carneal was sentenced to life in prison.[341]"
12/15/1997,"Stamps, Arkansas",Stamps, Arkansas,0,2,Lafayette County,D,"Concealed in a wooded area on school grounds, 14-year-old Joseph ""Colt"" Todd, wounded two students as they were entering Stamps High School.[341][357]"
3/1/1998,"Philadelphia, Pennsylvania",Philadelphia, Pennsylvania,1,3,Philadelphia County,D,"At around 4:15 p.m., gunfire broke out as a crowd streamed from the Palestra after a high school championship basketball game near the University of Pennsylvania. A 22-year-old man was shot in the back and killed, and a student working at the fine arts building was shot in the leg.[358]"
3/24/1998,"Craighead County, Arkansas",Craighead County, Arkansas,5,10,Craighead County,D,"Westside Middle School shootings: 13-year-old Mitchell Johnson, and 11-year-old Andrew Golden, killed a teacher and four students, and wounded ten others, as Westside Middle School emptied during a fire alarm intentionally set off by Golden.[359][360]"
4/24/1998,"Edinboro, Pennsylvania",Edinboro, Pennsylvania,1,3,Erie County,D,"Parker Middle School dance shooting: 14-year-old student, Andrew Wurst, fatally shot 48-year-old teacher, John Gillette, and wounded two students and another teacher at an 8th grade graduation dance. He is serving a thirty to sixty-year sentence in a prison for young offenders.[360][361]"
5/19/1998,"Fayetteville, Tennessee",Fayetteville, Tennessee,1,0,Lincoln County,R,"18-year-old Jacob Lee Davis, shot 18-year-old Robert Creson, at Lincoln County High School in a dispute over a girl.[362] Davis received a life sentence on July 29, 1999.[363]"
5/21/1998,"Springfield, Oregon",Springfield, Oregon,4,23,Lane County,D,"Thurston High School shooting: After killing his parents at home, 15-year-old Kip Kinkel, drove to Thurston High School, where he killed two students and wounded 23 others.[360] After pleading guilty, he was sentenced to 111 years of prison.[364]"
6/15/1998,"Richmond, Virginia",Richmond, Virginia,0,2,Richmond City,R,"14-year-old student, Quinshawn Brooker, wounded 45-year-old basketball coach and history teacher, Gregory Carter, and 74-year-old Head Start volunteer, Eloise Wilson, in the hallway of Armstrong High School.[360][365]"
12/10/1998,"Detroit, Michigan",Detroit, Michigan,1,0,Wayne County,D,"52-year-old Professor Andrzej Olbrot, was killed by 48-year-old graduate doctoral student, Wlodzimierz Dedecjusat, at Wayne State University.[366]"
1/8/1999,"Carrollton, Georgia",Carrollton, Georgia,1,1,Carroll County,R,"15-year-old Andrea Garrett was found dead, and 17-year-old Jeff Miller seriously wounded in the girls' restroom at Central Carrollton County High School, after a suicide pact because Garrett's mother had previously forbidden her to see Miller.[367]"
4/16/1999,"Notus, Idaho",Notus, Idaho,0,0,Canyon County,R,"15-year-old Shawn Cooper, fired two shots from a shotgun near the front desk at Notus Jr. Sr. High School. There were no serious injuries, but some students were close enough to the blast to be grazed by shrapnel from the tile floor. Cooper had been undergoing treatment for bipolar disorder.[368]"
4/20/1999,"Littleton, Colorado",Littleton, Colorado,15,21,Arapahoe County,R,"Columbine High School massacre: 18-year-old Eric Harris and 17-year-old Dylan Klebold, students at Columbine High School, killed twelve students and one teacher. They injured 21 additional people, and three more were injured while attempting to escape the school. The pair committed suicide at the end of the massacre. [360][369]"
5/20/1999,"Conyers, Georgia",Conyers, Georgia,0,6,Rockdale County,R,"15-year-old student Thomas ""T.J."" Solomon Jr., wounded six students at Heritage High School. A 15-year-old girl was hospitalized in critical condition, and the other victims suffered from non-life-threatening injuries.[360] Solomon initially faced up to 351 years of prison if convicted of aggravated assault and other charges. In 2000 he was found guilty but mentally ill and was sentenced to forty years in prison and sixty-five years of probation.[370]"
11/19/1999,"Deming, New Mexico",Deming, New Mexico,1,0,Luna County,D,"13-year-old Victor Cordova Jr., fatally shot 13-year-old Deming Middle School schoolmate, Araceli Tena. Cordova said he had intended to commit suicide but was jostled by others and his gun moved.[360][371]"
12/6/1999,"Fort Gibson, Oklahoma",Fort Gibson, Oklahoma,0,6,Cherokee,D,"Before his middle school opened, 13-year-old Seth Trickey opened fire in the courtyard. While there were no fatalities, several students felt sparks from the bullets hitting the building walls. Five were injured, including a girl who was shot in the face.[360] Trickey brought the gun from home.[372]"
2/29/2000,"Flint, Michigan",Flint, Michigan,1,0,Genesee County,D,"Shooting of Kayla Rolland: At Buell Elementary School, 6-year-old Dedrick Owens fatally shot 6-year-old classmate Kayla Rolland. Owens has since been the youngest documented school shooter.[374]"
5/26/2000,"Lake Worth, Florida",Lake Worth, Florida,1,0,Palm Beach County,D,"13-year-old honor student, Nathaniel Brazill, was sent home for throwing water balloons, but returned to his Lake Worth Middle School with a family pistol. He fatally shot teacher Barry Grunow, a popular teacher, he was Brazill's favorite.[374][375]"
8/28/2000,"Fayetteville, Arkansas",Fayetteville, Arkansas,2,0,Washington,D,"36-year-old James Easton Kelly, a PhD candidate in Comparative Literature at University of Arkansas, killed 67-year-old Dr. John R. Locke, the English professor overseeing his coursework. Kelly had been dismissed from this PhD program for lack of progress toward his degree. Kelly shot Dr. Locke three times before committing suicide in the director's office, which had been isolated by campus police.[376]"
9/26/2000,"New Orleans, Louisiana",New Orleans, Louisiana,0,2,,D,"13 year-olds Darrel Johnson, and Alfred Anderson were initially charged with attempted first-degree murder in the shooting of 15 year-old William Pennington. Pennington, after being shot, managed to gain control of the gun and shoot Johnson in the back.[377] Charges were later reduced to Aggravated Battery."
12/1/2000,"San Diego, California",San Diego, California,0,1,San Diego County,R,"A 15-year-old Junipero Serra High School student who showed off a handgun on campus and threatened to shoot a classmate, ended up accidentally shooting himself, causing minor injuries.[378]"
3/5/2001,"Santee, California",Santee, California,2,13,San Diego County,R,"Santana High School shooting: 15-year-old student, Charles Andrew Williams, killed two students, 14-year-old Bryan Zuckor, and 15-year-old Randy Gordon, at Santana High School and wounded thirteen others. He was arrested and convicted of murder and attempted murder. He was sentenced to life with the chance of parole after serving fifty years.[379]"
3/7/2001,"Williamsport, Pennsylvania",Williamsport, Pennsylvania,0,1,Lycoming County,R,"14-year-old student, Elizabeth Catherine Bush, wounded fellow student Kimberly Marchese in the cafeteria of Bishop Neumann High School.[380]"
3/22/2001,"El Cajon, California",El Cajon, California,0,5,San Diego County,R,"18-year-old former student, Jason Hoffman, opened fire at Granite Hills High School, injuring five people. He was convicted of assault and sentenced to prison, where he committed suicide in 2002.[382]"
3/30/2001,"Gary, Indiana",Gary, Indiana,1,0,Lake County,D,"17-year-old Donald Ray Burt Jr., fatally shot Neal Boyd, IV with one bullet to the head in a parking lot outside Lew Wallace High School.[383]"
5/16/2001,"Parkland, Washington",Parkland, Washington,2,0,Pierce County,D,40-year-old music instructor and organist James D. Holloway was shot multiple times with a .22-caliber handgun at Pacific Lutheran University by a 55-year-old man from Tacoma. The shooter was not a student or employee of the university and also killed himself. The victim was apparently chosen at random as the shooter had a personal dispute with a different staff member who was not on campus that day.[381]
1/15/2002,"New York City, New York",New York City, New York,0,2,New York County,D,"17-year-old Vincent Rodriguez, wounded two students at Martin Luther King, Jr. High School in Manhattan, with a semi-automatic pistol. He was retaliating for the victims having harassed his girlfriend. In February 2003, Rodriguez was sentenced to ten years in prison on charges of assault and attempted assault.[384]"
1/16/2002,"Grundy, Virginia",Grundy, Virginia,3,3,Buchanan County,D,"Appalachian School of Law shooting: Recently dismissed graduate student, 42-year-old Peter Odighizuwa, killed three at the Appalachian School of Law. 42-year-old dean Anthony Sutin, and 41-year-old professor Thomas Blackwell were killed along with 33-year-old student, Angela Dales. Three other students were also wounded.[385] Odighizuwa received three life sentences and an additional 28 years without the possibility of parole until 2005.[386]"
2/20/2002,"Milwaukee, Wisconsin",Milwaukee, Wisconsin,1,0,Milwaukee County,D,"16-year-old Washington High School student, Joseph Johnson Jr., was killed by Phillip D. Jackson Jr., when violence erupts between rival fans in the parking lot, after a basketball game between Vincent High School.[387]"
6/11/2002,"Conception, Missouri",Conception, Missouri,3,2,Nodaway County,R,"71-year-old Lloyd Robert Jeffress opened fire at random in the halls of Conception Abbey, a monastery in northwest Missouri. He killed two monks and seriously wounded another two before fatally shooting himself. Two weapons, a Chinese-made replica of the AK-47 and a sawed-off .22-caliber rifle, were found near the body.[388]"
10/7/2002,"Bowie, Maryland",Bowie, Maryland,0,1,"Prince George's County,",D,"In the Beltway sniper attacks, one victim of several was 13-year-old Iran Brown, who was wounded as he arrived at Benjamin Tasker Middle School in Bowie, Maryland. His aunt, a nurse who had just dropped him off, rushed him to a hospital emergency room. Despite serious injuries, Brown survived the attack.[389][390]"
10/28/2002,"Tucson, Arizona",Tucson, Arizona,4,0,Pima County,D,"Failing nursing college student and Gulf War veteran, 40-year-old Robert Stewart Flores Jr., killed three assistant professors of nursing at the University of Arizona, 50-year-old Robin Rogers, 44-year-old Cheryl McGaffic, and 45-year-old Barbara Monroe, before turning the gun on himself.[391]"
10/29/2002,"Jersey City, New Jersey",Jersey City, New Jersey,0,1,Hudson,D,"A 15-year-old student was shot in the abdomen and wounded inside a basement of Lincoln High School, during an argument with another student. Another 15-year-old student was arrested and charged with attempted murder.[392]"
4/14/2003,"New Orleans, Louisiana",New Orleans, Louisiana,1,3,,,"John McDonogh High School shooting. 18-year-old Steven Williams, and 17-year-old James Tate opened fire with an AK-47 and a handgun in the gymnasium of John McDonogh High School, killing a 15-year-old student and wounding three female students. Williams was sentenced to life imprisonment, and Tate was sentenced to fifteen years.[393][394][395]"
4/24/2003,"Red Lion, Pennsylvania",Red Lion, Pennsylvania,2,0,York County,R,"14-year-old student James Sheets, entered Red Lion Area Junior High School armed with his stepfather's pistols. He killed the school's principal, Eugene Segro, before killing himself.[396][397]"
5/9/2003,"Cleveland, Ohio",Cleveland, Ohio,1,2,Cuyahoga County,D,"On May 9, 2003, Biswanath Halder, a 62-year-old business school alumnus of Case Western Reserve University, killed a graduate student and wounded a professor and another student using a semi-automatic rifle. He held the building and its nearly 100 occupants hostage for seven hours before being apprehended by a SWAT team. He was sentenced to life in prison.[398][399]"
9/24/2003,"Cold Spring, Minnesota",Cold Spring, Minnesota,2,0,Stearns County,R,"Rocori High School shooting: 15-year-old John Jason McLaughlin, shot 15-year-old freshman Seth Bartell and 17-year-old senior Aaron Rollins at Rocori High School. Rollins was killed immediately, and Bartell died from his wounds sixteen days later. McLaughlin was sentenced to life in prison with the chance of parole in 2038.[374]"
2/2/2004,"Washington, D.C.",Washington, D.C.,1,0,"Washington, D.C.",D,"Thomas J. Boykin was acquitted of the murder of 17-year-old James Richardson, a football player at Ballou High School in Southeast Washington.[400]"
2/9/2004,"East Greenbush, New York",East Greenbush, New York,0,1,Rensselaer,D,"Jon W. Romano in East Greenbush, New York fired two rounds from a shotgun, wounding one teacher. He was tackled by the assistant principal and charged with one count of attempted murder.[401]"
5/7/2004,"Randallstown, Maryland",Randallstown, Maryland,0,4,Baltimore County,D,"Two students were charged with a school shooting that arose from a dispute after a basketball game at Randallstown High School. Four persons were injured, two seriously. One student was paralyzed from the waist down.[402]"
2/8/2005,"Chicago, Illinois",Chicago, Illinois,0,1,Cook County,D,An 18-year-old student at Bowen High School was shot in the leg as she left the school around 2:30 p.m.[403]
3/2/2005,"Dover, Tennessee",Dover, Tennessee,1,0,Hamblen County,R,"14-year-old Jason Clinard, killed his bus driver, 47-year-old Joyce Gregory, as she stopped to pick him up. Gregory had earlier reported Clinard for using snuff on the school bus. Clinard was given a life sentence.[404]"
3/21/2005,"Red Lake, Minnesota",Red Lake, Minnesota,10,7,Beltrami,D,"Red Lake shootings: 16-year-old student Jeffrey Weise, killed his grandfather and grandfather's companion at their home, where he had been living, at the Red Lake Indian Reservation. He drove to Red Lake Senior High School. Armed with his grandfather's police weapons, Weise killed five students, one teacher, and one security guard, wounding seven others, before committing suicide.[405]"
9/13/2005,"Chicago, Illinois",Chicago, Illinois,0,1,Cook County,D,"At Harlan Community Academy High School, a fight broke out between two 15-year-old boys in the gymnasium. Christopher Huff took out a pistol, shooting the other youth in the leg. A police officer on duty at the school arrested the gunman. The suspected shooter was charged as an adult with aggravated battery with a firearm.[406]"
11/8/2005,"Jacksboro, Tennessee",Jacksboro, Tennessee,1,2,Campbell,R,"Campbell County High School shooting: Inside the Campbell County High School office, 15-year-old Kenneth Bartley, shot the school principal, Gary Seale. He shot assistant principals Ken Bruce and Jim Pierce. Bruce later died from his wound. Bartley was sentenced to forty-five years in prison with chance of parole after twenty-nine years.[407][408][279]"
1/13/2006,"Longwood, Florida",Longwood, Florida,0,1,Seminole County,R,"15-year-old Christopher Penley, took a pellet gun to class at Milwee Middle School. After refusing to drop the weapon, he was shot when he pointed it at a police officer.[409]"
2/23/2006,"Roseburg, Oregon",Roseburg, Oregon,0,1,Douglas County,R,"14-year-old freshman Vincent Wayne Leodoro, shot student 16-year-old Joseph Monti, four times in the back with a semi-automatic handgun at Roseburg High School. Leodoro walked away from the school campus, and was confronted near a restaurant by six police officers. He threatened suicide but was persuaded to surrender.[410] He was found guilty of attempted murder and assault in July 2006, and will be held in prison until he turns twenty five years old.[411]"
3/14/2006,"Reno, Nevada",Reno, Nevada,0,2,Washoe,R,"Pine Middle School shooting: In the hallway of Pine Middle School, 14-year-old James Scott Newman, injured two 14-year-old classmates, Alexander Rueda and Kenzie McKeon, with a revolver belonging to his parents. Two students received minor wounds. Newman was subdued by a physical education teacher. The youth was arrested and charged as an adult for attempted murder, use of a deadly weapon and use of a firearm by a minor.[412] He later pleaded guilty to charges of two counts of battery with a deadly weapon, and was sentenced as a juvenile. Newman was sentenced to house arrest until he completed two-hundred hours of community service.[413]"
8/24/2006,"Essex Junction, Vermont",Essex Junction, Vermont,2,3,Chittenden County,D,"Christopher Williams, 26, shot his girlfriend's mother, Linda Lambesis, 57 at her home and from there he went to Essex Elementary School where Andrea, his girlfriend, worked. After he arrived at the elementary school, which was not in session at the time, he shot and killed Mary Alicia Shanks, 56, and shot Mary Snedeker, 52, nonfatally. He left the school and allegedly shot Chad Johansen, 26 nonfatally. He then turned the gun on himself, but did not die as a result.[414]"
8/30/2006,"Hillsborough, North Carolina",Hillsborough, North Carolina,0,2,Orange County,D,"After shooting and killing his father, teenager Alvaro Castillo went to his high school, where he wounded two students. He was reportedly obsessed with the Columbine shootings and had written an email to the current Columbine high school principal before committing his own crime.[415]"
9/2/2006,"Shepherdstown, West Virginia",Shepherdstown, West Virginia,3,0,Jefferson County,R,"49-year-old Douglas W. Pennington, killed himself and his two sons, 26-year-old Logan P. Pennington, 24-year-old Benjamin M. Pennington, during a visit to the campus of Shepherd University.[416][417]"
9/17/2006,"Pittsburgh, Pennsylvania",Pittsburgh, Pennsylvania,0,5,Allegheny County,D,"Five Duquesne basketball players were shot early Sunday morning during an apparent act of random violence on campus, leaving three hospitalized — two of them in critical condition.[418]"
